accuracy,auc,loss,specificity_at_sensitivity,val_accuracy,val_auc,val_loss,val_specificity_at_sensitivity
0.27712419629096985,0.7270171642303467,1.9363759756088257,0.7988561987876892,0.38235294818878174,0.7799913287162781,1.7664965391159058,0.862500011920929
0.364705890417099,0.7999089956283569,1.7087831497192383,0.8790849447250366,0.29411765933036804,0.7378222346305847,1.9352452754974365,0.8235294222831726
0.42222222685813904,0.8263100385665894,1.6057754755020142,0.9030228853225708,0.4470588266849518,0.838657021522522,1.549222469329834,0.9147058725357056
0.4516339898109436,0.8406569957733154,1.5437958240509033,0.9174019694328308,0.47647058963775635,0.8398615717887878,1.5491588115692139,0.9279412031173706
0.4816993474960327,0.8674653768539429,1.4229381084442139,0.9338235259056091,0.5058823823928833,0.8601188659667969,1.4412636756896973,0.945588231086731
0.49803921580314636,0.8754656314849854,1.3879753351211548,0.9427287578582764,0.5,0.8516716957092285,1.5083436965942383,0.9514706134796143
0.5196078419685364,0.8807471990585327,1.3556458950042725,0.9490196108818054,0.47647058963775635,0.8520588874816895,1.508303165435791,0.9397059082984924
0.545098066329956,0.8938353657722473,1.2857959270477295,0.9553921818733215,0.4941176474094391,0.8630514144897461,1.4475585222244263,0.9433823823928833
0.5627450942993164,0.9023629426956177,1.2343864440917969,0.9583333134651184,0.5058823823928833,0.8660985827445984,1.4388444423675537,0.9573529362678528
0.5764706134796143,0.9093606472015381,1.1891483068466187,0.968137264251709,0.4882352948188782,0.8876968026161194,1.3255605697631836,0.945588231086731
0.5771241784095764,0.9147328734397888,1.15668523311615,0.9687908291816711,0.4941176474094391,0.8667733669281006,1.4189894199371338,0.9338235259056091
0.5803921818733215,0.9169891476631165,1.1437381505966187,0.969362735748291,0.5117647051811218,0.8729281425476074,1.4031882286071777,0.9419117569923401
0.5941176414489746,0.921740710735321,1.1078912019729614,0.9732843041419983,0.44117647409439087,0.8591803312301636,1.52330482006073,0.9073529243469238
0.5823529362678528,0.9179176688194275,1.1342071294784546,0.970016360282898,0.47647058963775635,0.8551211357116699,1.5152474641799927,0.9345588088035583
0.6189542412757874,0.9275873899459839,1.0668889284133911,0.9777777791023254,0.5,0.8662023544311523,1.4120209217071533,0.9514706134796143
